Time;Latitude;Longitude;Accuracy;Cell ID;LAC;MCC;MNC;Color;Signal Strength;Type;
2014-09-04 15-38-03;45.065921;7.658718;21;142051-7;12232;222;88;#ffaa00;-106;UMTS;
2014-09-04 15-59-03;45.065683;7.658621;21;142051-7;12232;222;88;#ffaa00;-106;UMTS;
2014-08-05 17-50-16;45.0643114;7.6618709;25;142051-7;12232;222;88;#ff8d00;-112;LTE;
2014-08-05 17-50-32;45.0643114;7.6618709;25;142051-7;12232;222;88;#ff9900;-110;LTE;
2014-08-05 17-59-26;45.06370638;7.66176965;26;6120;13041;222;88;#ff6600;-101;UMTS;
2014-08-05 17-59-32;45.06459972;7.66203203;24;6120;13041;222;88;#ff6600;-101;UMTS;
2014-08-05 17-59-35;45.0645717;7.661945;42;6120;13041;222;88;#ff6600;-101;UMTS;
2014-08-05 17-59-41;45.06445594;7.66200396;15;6120;13041;222;88;#ff6600;-101;UMTS;
2014-08-05 17-59-55;45.064718;7.6620805;43;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 17-59-56;45.06450885;7.66198986;23;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-00-12;45.064718;7.6620805;43;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-00-16;45.06449638;7.66199702;9;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-00-32;45.064718;7.6620805;43;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-00-36;45.06450121;7.66217325;11;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-00-45;45.0644683;7.66230101;15;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-00-53;45.06453883;7.66244567;19;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-00-58;45.06448039;7.66250193;21;6120;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-01-03;45.06438217;7.66270525;22;17280;13041;222;88;#ff5500;-103;UMTS;
2014-08-05 18-01-08;45.06427383;7.66280732;22;17280;13041;222;88;#ffaa00;-93;UMTS;
2014-08-05 18-01-13;45.06418343;7.66290871;21;31642;13041;222;88;#ffaa00;-93;UMTS;
2014-08-05 18-01-18;45.06418731;7.66301291;22;31642;13041;222;88;#ff9900;-95;UMTS;
2014-08-05 18-01-28;45.0642355;7.66313866;35;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-01-43;45.06425463;7.66335773;47;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-01-49;45.06422404;7.66342874;13;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-01-54;45.06409584;7.66346505;14;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-01-59;45.064016;7.66342878;18;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-04;45.06395827;7.66336163;21;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-09;45.0638729;7.66339118;19;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-15;45.0638112;7.6636315;45;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-24;45.06382328;7.66331227;13;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-29;45.06377133;7.66326822;15;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-32;45.0638112;7.6636315;45;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-34;45.06336259;7.66302474;20;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-44;45.0621589;7.66221134;17;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-49;45.06194049;7.66200687;24;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-52;45.0638112;7.6636315;45;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-02-54;45.06166184;7.66172621;33;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-07;45.0609822;7.66111453;14;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-15;45.0635893;7.6633166;40;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-19;45.06097725;7.66117084;13;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-24;45.0609207;7.66119274;14;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-29;45.06086081;7.66124404;12;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-32;45.0635893;7.6633166;40;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-39;45.06082901;7.66125101;12;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-49;45.06074104;7.66122031;13;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-53;45.0635893;7.6633166;40;6120;13041;222;88;#ff7700;-99;UMTS;
2014-08-05 18-03-54;45.06063512;7.66141763;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-03-59;45.06047937;7.66162172;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-04;45.06028007;7.66168851;13;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-09;45.06023379;7.66176049;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-14;45.06021347;7.66199101;17;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-15;45.0597906;7.6621465;40;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-24;45.05988574;7.66254591;17;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-34;45.05974156;7.66304941;18;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-36;45.059494;7.6628666;43;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-39;45.05958671;7.66324874;15;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-44;45.05957708;7.66345542;13;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-49;45.05953592;7.66366077;13;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-54;45.059494;7.6628666;43;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-04-54;45.05950602;7.6638855;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-05-04;45.05933713;7.66435562;18;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-05-13;45.059494;7.6628666;43;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-05-14;45.05916561;7.66472774;15;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-05-24;45.05890024;7.6651841;17;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-05-34;45.05868926;7.66541287;13;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-14;45.056521;7.66449476;40;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-20;45.05660883;7.66443451;15;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-25;45.0565376;7.6643631;10;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-27;45.0585297;7.6652483;48;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-35;45.05612312;7.66415721;13;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-44;45.0585297;7.6652483;48;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-45;45.05562937;7.66386619;10;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-50;45.0553258;7.66367661;8;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-06-55;45.05507727;7.66356647;10;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-00;45.05482247;7.66340554;10;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-04;45.0585297;7.6652483;48;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-05;45.05463428;7.66328203;10;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-10;45.0543832;7.66310552;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-15;45.05416737;7.66291069;13;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-20;45.05395345;7.66276494;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-25;45.0536912;7.66272144;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-28;45.0536854;7.6626202;40;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-35;45.05327879;7.66243894;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-40;45.05307084;7.66225244;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-45;45.0536854;7.6626202;40;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-45;45.05282942;7.66210024;14;142050-8;12232;222;88;#ff7300;-117;LTE;
2014-08-05 18-07-50;45.05264608;7.66189497;13;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-07-55;45.05240341;7.66154556;16;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-00;45.05219316;7.66143502;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-05;45.05199324;7.66132403;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-07;45.0536854;7.6626202;40;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-15;45.05173762;7.66132671;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-20;45.05176901;7.66150092;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-25;45.05182374;7.66177664;15;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-30;45.051798;7.6620913;43;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-35;45.05166656;7.66233072;19;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-45;45.05140583;7.66282992;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-48;45.0517687;7.6620799;42;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-50;45.05137847;7.66299694;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-08-55;45.05140021;7.66319326;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-00;45.05121496;7.66357706;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-05;45.0510345;7.66388068;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-10;45.05080029;7.6643341;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-20;45.05039744;7.66475038;19;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-25;45.05019511;7.66503333;18;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-28;45.050799;7.6643489;37;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-30;45.05014421;7.6651537;15;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-35;45.05003128;7.66541167;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-40;45.04980839;7.66581365;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-45;45.0496859;7.66620103;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-48;45.0495824;7.6665008;40;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-50;45.04949488;7.66658094;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-09-55;45.04929365;7.6669863;11;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-00;45.04909744;7.66737589;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-05;45.0495824;7.6665008;40;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-05;45.04892374;7.66768122;13;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-15;45.04853124;7.668587;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-20;45.04831076;7.66894693;12;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-25;45.04820542;7.66931939;11;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-26;45.0495824;7.6665008;40;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-30;45.04810707;7.66966447;11;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-35;45.04803513;7.66998363;11;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-40;45.04797372;7.67045212;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-48;45.04782538;7.67123734;16;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-48;45.0495824;7.6665008;40;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-10-56;45.04766979;7.67172457;15;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-01;45.04763311;7.67214717;17;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-06;45.0495824;7.6665008;40;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-06;45.04760987;7.67269748;17;6128;13041;222;88;#abff00;-73;UMTS;
